Reporting Date,Equity,Debt,Hybrid
07-11-2025,-2723.56,-485.8,-33.04
06-11-2025,-326.17,-682.19,25.49
04-11-2025,-1932.18,-461.48,-0.93
03-11-2025,-7586.75,-128.32,2.66
31-10-2025,-2552.67,-762.12,2.95
30-10-2025,-780.34,-875.53,7.9
29-10-2025,9431.08,-119.23,4.63
28-10-2025,615.99,-68.24,13.01
27-10-2025,566.97,-320.97,110.03
24-10-2025,-796.83,-41.74,115.73
23-10-2025,764.34,6.06,6.36
20-10-2025,882.21,357.07,42.89
17-10-2025,2152.33,1656.99,-12.46
16-10-2025,695.98,1526.44,1993.47
15-10-2025,-576.82,14.46,-9.38
14-10-2025,3555.35,234.25,-1.58
13-10-2025,2743.33,79.16,1.05
10-10-2025,2406.54,-215.62,-4.55
09-10-2025,737.82,1043.51,2.41
08-10-2025,1663.65,-558.1,5.52
07-10-2025,-1471.74,325.93,363.07
06-10-2025,-1584.48,1241.71,47.16
03-10-2025,183.66,90.58,90.6
01-10-2025,-4026.06,-107.14,89.99
30-09-2025,-1354.79,-158.99,35.43
29-09-2025,-4979.28,-448.23,53.86
26-09-2025,-4100.6,-8.86,23.89
25-09-2025,-1867.85,-176.8,-5.17
24-09-2025,-2794.09,154.79,26.04
23-09-2025,-1971.7,211.43,4.83
22-09-2025,1128.39,611.32,160.34
19-09-2025,785.11,663.84,-1.07
18-09-2025,-280.13,334.93,-5.0
17-09-2025,1645.65,3389.48,13.8
16-09-2025,-336.45,-432.08,5.9
15-09-2025,1022.64,1756.06,-8.35
12-09-2025,-3413.59,36.71,6.68
11-09-2025,4494.14,-361.32,9.43
10-09-2025,570.79,-418.87,-45.17
09-09-2025,-176.03,-2090.73,-10.14
04-09-2025,-684.88,-144.15,-3.55
03-09-2025,-937.05,128.49,8.11
02-09-2025,-1652.11,-53.69,-2.93
01-09-2025,-8982.89,-1908.7,-44.01
29-08-2025,-6088.23,-86.91,-28.27
28-08-2025,-5650.28,-214.66,76.63
26-08-2025,-1555.13,374.2,44.29
25-08-2025,340.16,487.01,-4.62
22-08-2025,-562.34,-140.3,-6.1
21-08-2025,-297.77,336.76,11.45
20-08-2025,-12.27,55.94,-12.07
19-08-2025,1015.64,-111.12,-26.61
18-08-2025,-1208.35,1596.62,252.81
14-08-2025,-2264.38,1758.63,-10.62
13-08-2025,-2648.54,-670.84,-25.9
12-08-2025,-964.6,-132.57,17.38
11-08-2025,2826.16,81.25,-1.43
08-08-2025,-5519.81,605.69,-29.56
07-08-2025,-4398.51,333.3,5.86
06-08-2025,1561.31,234.0,-49.77
05-08-2025,-1967.77,401.26,-45.9
04-08-2025,-1445.44,1954.29,-8.23
01-08-2025,-6153.28,-96.1,-8.25
31-07-2025,-162.1,52.22,-24.15
30-07-2025,-3692.35,-39.81,-3.14
29-07-2025,-5963.6,-574.57,0.54
28-07-2025,-1419.44,-165.88,1.89
25-07-2025,-1995.5,-476.26,13.03
24-07-2025,-3299.28,-360.43,14.98
23-07-2025,4618.07,-81.3,-10.96
22-07-2025,-1084.36,-77.1,-27.42
21-07-2025,781.85,-361.06,-0.59
18-07-2025,-2864.12,332.77,-18.05
17-07-2025,-1040.59,30.28,-4.0
16-07-2025,-173.63,153.13,4.25
15-07-2025,-789.32,-264.14,-14.46
14-07-2025,-4495.01,269.32,22.82
11-07-2025,839.75,336.24,-424.53
10-07-2025,672.2,-73.47,6.99
09-07-2025,284.23,1184.75,-23.52
08-07-2025,2771.19,-248.67,10.82
07-07-2025,691.97,167.4,6.09
04-07-2025,-2608.57,91.6,-1.12
03-07-2025,-747.11,-1359.18,7.41
02-07-2025,1105.52,-320.26,0.42
01-07-2025,829.62,1550.15,-0.36
30-06-2025,5674.78,-215.62,7.34
27-06-2025,10662.98,614.39,13.24
26-06-2025,-854.15,-341.46,8.49
25-06-2025,-4336.58,-197.57,-5.54
24-06-2025,-1836.29,-48.14,4.58
23-06-2025,9471.58,-163.12,-11.5
20-06-2025,2040.0,298.34,-7.64
19-06-2025,-597.59,-23.95,-4.68
18-06-2025,2788.27,726.23,-6.43
17-06-2025,-2647.46,278.39,24.57
16-06-2025,-373.65,272.99,47.14
13-06-2025,-3275.76,42.43,22.31
12-06-2025,-131.4,-2529.33,21.24
11-06-2025,3077.89,1364.2,21.35
10-06-2025,2412.1,-226.55,-3.76
